iter	RMSE
152	218933.8425
153	218724.2185
154	218444.9734
155	218167.1123
156	217907.726
157	217599.2659
158	217476.6744
159	217176.8399
160	217053.9676
161	216862.2578
162	216725.6383
163	216602.6165
164	216439.7844
165	216148.9407
166	215720.3643
167	215657.703
168	215530.0425
169	215268.7257
170	215191.3299
171	214986.6458
172	214867.9719
173	214776.1374
174	214535.9597
175	214441.8974
176	214296.7081
177	214135.8407
178	213918.3452
179	213707.1244
180	213267.0712
181	212966.8855
182	212773.8181
183	212445.9373
184	212343.1487
185	212218.7918
186	212026.6363
187	211801.3734
188	211738.4741
189	211572.2889
190	211306.3999
191	211119.3845
192	210867.549
193	210799.743
194	210524.9424
195	210425.817
196	210287.8323
197	209959.693
198	209906.1396
199	209764.8163
200	209686.4909
201	209363.2531
202	209080.3989
203	208903.2441
204	208708.4897
205	208314.4228
206	208184.9084
207	207976.5804
208	207859.4467
209	207594.305
210	207388.4209
211	207201.205
212	207089.4122
213	206821.9745
214	206723.8227
215	206580.5496
216	206467.8523
217	206280.9678
218	206182.9289
219	205973.6557
220	205693.3359
221	205523.7476
222	205387.4429
223	205085.4898
224	204994.9983
225	204839.6214
226	204638.8442
227	204417.0408
228	204252.5526
229	204108.1677
230	203954.313
231	203761.1845
232	203593.9282
233	203471.7503
234	203345.1726
235	203111.8645
236	202925.6982
237	202761.8886
238	202573.1762
239	202480.5586
240	202185.246
241	201957.6231
242	201785.6306
243	201648.5106
244	201574.1477
245	201391.4209
246	201201.6204
247	201117.3077
248	200932.7509
249	200812.5415
250	200603.6876
251	200523.5868
252	200445.4709
253	200320.1054
254	200126.9133
255	199987.303
256	199812.1964
257	199626.4423
258	199459.9927
259	199343.0516
260	199241.4025
261	199118.8835
262	199031.6388
263	198935.4591
264	198763.0818
265	198616.0304
266	198502.463
267	198433.5065
268	198286.3668
269	198140.6133
270	198024.9431
271	197888.3269
272	197746.6175
273	197575.6928
274	197381.3564
275	197261.4719
276	197090.5373
277	196946.1057
278	196831.5611
279	196690.6424
280	196549.3123
281	196402.2348
282	196375.7615
283	196248.3251
284	196057.9644
285	195941.7133
286	195779.6176
287	195621.3253
288	195483.7331
289	195346.2261
290	195232.694
291	195098.2689
292	195013.7777
293	194874.1571
294	194778.4276
295	194589.8368
296	194410.5365
297	194284.6521
298	194185.272
299	194079.1753
300	193986.6142
301	193826.8397
302	193729.0969
303	193660.4996
304	193529.3562
305	193335.4972
306	193222.1122
307	193210.8505
308	193099.8582
309	193085.6826
310	192992.4136
311	192848.8292
312	192706.5577
313	192583.6124
314	192414.3888
315	192336.7287
316	192278.6028
317	192179.6728
318	192150.9643
319	192035.5388
320	191923.3199
321	191776.7506
322	191671.0992
323	191589.4851
324	191453.5053
325	191384.3783
326	191255.0196
327	191164.7038
328	191043.9803
329	190923.0964
330	190807.9159
331	190737.9098
332	190609.5256
333	190592.8436
334	190508.5874
335	190441.6306
336	190308.7913
337	190290.2795
338	190126.7996
339	190066.2217
340	189941.6036
341	189749.8951
342	189632.9718
343	189484.9244
344	189377.9467
345	189282.0853
346	189261.1219
347	189118.9941
348	189005.3399
349	188984.5229
350	188948.3759
351	188789.7967
352	188750.6665
353	188638.5328
354	188633.9514
355	188560.0756
356	188479.3676
357	188347.3616
358	188239.8951
359	188183.4012
360	188086.9459
361	187990.3218
362	187886.752
363	187795.1093
364	187717.9411
365	187689.2739
366	187656.6715
367	187557.7536
368	187461.4894
369	187355.8308
370	187271.182
371	187258.5314
372	187112.1743
373	187039.9751
374	186852.0844
375	186763.6744
376	186707.5089
377	186660.6874
378	186599.9586
379	186516.0829
380	186474.6159
381	186383.6709
382	186259.514
383	186157.7183
384	186005.4903
385	185923.6424
386	185822.5712
387	185699.1081
388	185618.1236
389	185541.3506
390	185510.4946
391	185420.9782
392	185306.3348
393	185210.6377
394	185102.0718
395	184966.9241
396	184962.2646
397	184860.6811
398	184716.9652
399	184644.3301
400	184527.1767
401	184452.6474
402	184351.8069
403	184243.8142
404	184179.582
405	184097.3481
406	183999.4307
407	183939.5579
408	183860.6675
409	183786.3384
410	183664.3641
411	183519.3728
412	183454.0274
413	183359.7875
414	183281.8079
415	183179.5482
416	183085.6296
417	182946.3717
418	182823.0183
419	182752.8077
420	182677.7119
421	182572.7822
422	182536.6226
423	182532.1555
424	182490.0713
425	182362.5851
426	182270.4823
427	182152.3787
428	182027.5573
429	181947.8634
430	181879.4469
431	181803.7692
432	181737.8833
433	181659.5149
434	181599.7918
435	181545.227
436	181453.9415
437	181371.9749
438	181292.8235
439	181206.5486
440	181081.7349
441	181008.2807
442	180955.3643
443	180855.7373
444	180781.1756
445	180651.2705
446	180582.7748
447	180463.08
448	180430.8918
449	180321.6136
450	180233.7624
451	180161.1889
452	180059.3974
453	179982.9367
454	179900.7687
455	179826.5366
456	179767.5045
457	179654.1707
458	179569.1555
459	179510.4714
460	179430.0383
461	179332.2327
462	179231.5279
463	179152.4869
464	179096.6229
465	179000.2344
466	178921.4523
467	178824.0339
468	178743.3811
469	178654.5089
470	178560.1985
471	178455.471
472	178380.29
473	178301.1335
474	178180.6984
475	178123.2548
476	178037.239
477	177947.4493
478	177820.2954
479	177744.2776
480	177681.1121
481	177519.569
482	177449.2682
483	177395.1582
484	177302.0513
485	177224.4316
486	177177.4957
487	177154.3217
488	177100.4071
489	177014.7793
490	176984.2708
491	176849.2067
492	176797.1514
493	176688.5486
494	176633.0158
495	176612.7625
496	176564.7403
497	176463.9151
498	176398.1717
499	176322.6412
500	176235.149
501	176150.4527
502	176090.0147
503	176027.1509
504	175991.8541
505	175921.6716
506	175885.0208
507	175820.9963
508	175727.8452
509	175673.4975
510	175630.5694
511	175565.4652
512	175493.297
513	175427.8609
514	175396.8036
515	175288.0083
516	175223.0697
517	175146.2487
518	175121.8041
519	175035.0006
520	174961.6572
521	174879.6121
522	174828.8003
523	174746.1713
524	174674.8974
525	174529.7283
526	174511.2394
527	174489.3834
528	174436.316
529	174375.5374
530	174284.7414
531	174217.8655
532	174099.466
533	174036.139
534	173953.6002
535	173893.2288
536	173823.9876
537	173821.7653
538	173813.2146
539	173747.6544
540	173617.1347
541	173546.7197
542	173464.1888
543	173341.6738
544	173279.1467
545	173196.8564
546	173140
547	173088.1122
548	173031.1677
549	172933.1803
550	172898.1475
551	172786.1785
552	172699.9207
553	172622.003
554	172602.1013
555	172554.2614
556	172498.6473
557	172424.2205
558	172339.5962
559	172207.8692
560	172113.4787
561	172055.5774
562	171966.8053
563	171898.4443
564	171836.7378
565	171783.3823
566	171708.4501
567	171645.1469
568	171585.4108
569	171509.0354
570	171402.8496
571	171341.2041
572	171284.3192
573	171198.271
574	171118.3571
575	171048.3943
576	170955.1074
577	170898.2232
578	170896.3068
579	170828.6266
580	170803.1376
581	170759.6425
582	170711.2544
583	170654.7938
584	170593.3431
585	170546.5478
586	170484.9595
587	170405.0341
588	170351.4191
589	170304.2323
590	170220.1287
591	170132.8817
592	170075.2304
593	170014.8953
594	169954.051
595	169864.9157
596	169794.3
597	169733.1238
598	169671.6129
599	169591.5309
600	169549.8188
601	169495.0731
602	169483.5509
603	169450.5139
604	169368.8758
605	169306.5265
606	169217.1123
607	169180.5245
608	169085.9671
609	169007.9113
610	168932.0482
611	168828.1605
612	168791.0779
613	168729.0596
614	168615.7432
615	168533.7325
616	168477.902
617	168476.8323
618	168467.9809
619	168399.6655
620	168321.6714
621	168295.1572
622	168238.1646
623	168183.9629
624	168074.4149
625	168066.1455
626	167991.7523
627	167942.9545
628	167896.9432
629	167864.3134
630	167801.2444
631	167709.2844
632	167651.6969
633	167556.0118
634	167475.3346
635	167406.9765
636	167364.0621
637	167327.965
638	167313.1204
639	167257.439
640	167167.9567
641	167128.2685
642	167062.6454
643	167019.4292
644	166960.3347
645	166920.7638
646	166845.6278
647	166795.9847
648	166746.7653
649	166681.7163
650	166624.9493
651	166593.8309
652	166546.3304
653	166545.0349
654	166481.7257
655	166405.955
656	166309.8021
657	166265.5265
658	166201.7724
659	166112.6608
660	166060.5281
661	165945.2556
662	165847.1397
663	165799.2792
664	165747.6882
665	165696.5701
666	165614.2638
667	165575.7248
668	165529.3924
669	165454.3265
670	165388.6051
671	165338.7759
672	165286.343
673	165216.3335
674	165155.0257
675	165119.2983
676	165058.0324
677	164999.4484
678	164936.942
679	164875.7911
680	164810.678
681	164742.255
682	164683.8009
683	164633.2026
684	164582.4936
685	164527.6911
686	164481.5265
687	164440.5413
688	164358.1104
689	164316.7776
690	164315.8025
691	164256.4252
692	164218.8893
693	164130.2894
694	164058.6114
695	164009.3936
696	163908.229
697	163888.1346
698	163841.1738
699	163786.6527
700	163737.239
701	163706.7513
702	163642.5329
703	163574.8645
704	163537.6555
705	163536.4769
706	163491.2514
707	163404.9951
708	163339.0052
709	163288.1491
710	163222.5105
711	163199.9745
712	163141.064
713	163060.6427
714	162981.1664
715	162945.7038
716	162895.4115
717	162821.3879
718	162781.123
719	162742.1947
720	162656.4946
